

running CarGridworld, 0 noise, 2-goal ratio with .01 offset
action_noise: 0.0, 	two_goal: True, 
	success_rate: 0.24
	average_reward: -4.992556163599433
	average_initial_value: -5.052566533088684

action_noise: 0.0, 	two_goal: True, 
	success_rate: 0.030000000000000006
	average_reward: -4.999136777495352
	average_initial_value: -4.979777364730834

action_noise: 0.0, 	two_goal: True, 
	success_rate: 0.0
	average_reward: -4.999928637615368
	average_initial_value: -4.8978835439682005

action_noise: 0.0, 	two_goal: True, 
	success_rate: 0.0
	average_reward: -4.999928637615368
	average_initial_value: -5.037800998687744

action_noise: 0.0, 	two_goal: True, 
	success_rate: 0.02
	average_reward: -4.996533555440682
	average_initial_value: -4.9551767110824585

action_noise: 0.0, 	two_goal: True, 
	success_rate: 0.030000000000000006
	average_reward: -4.99974456867078
	average_initial_value: -4.906475491523742

action_noise: 0.0, 	two_goal: True, 
	success_rate: 0.01
	average_reward: -4.999928459209406
	average_initial_value: -5.033983249664307


running CarGridworld, 0 noise, 1-goal
action_noise: 0.0, 	two_goal: False, 
	success_rate: 0.8800000000000001
	average_reward: -4.669272887357444
	average_initial_value: -4.53295380115509

action_noise: 0.0, 	two_goal: False, 
	success_rate: 0.93
	average_reward: -4.765754383503789
	average_initial_value: -4.623451232910156

action_noise: 0.0, 	two_goal: False, 
	success_rate: 0.37
	average_reward: -4.976259784136822
	average_initial_value: -5.017623329162598

action_noise: 0.0, 	two_goal: False, 
	success_rate: 0.16999999999999998
	average_reward: -4.919040785051062
	average_initial_value: -4.803087756633758

action_noise: 0.0, 	two_goal: False, 
	success_rate: 0.23000000000000004
	average_reward: -4.7568724776861835
	average_initial_value: -4.237427289485931

action_noise: 0.0, 	two_goal: False, 
	success_rate: 0.04
	average_reward: -4.94540312350891
	average_initial_value: -4.979897780418396

action_noise: 0.0, 	two_goal: False, 
	success_rate: 0.09
	average_reward: -4.9764052838187
	average_initial_value: -4.686688134670257


running CarGridworld, .25 noise, 2-goal ratio with .01 offset
